aX,aY,aZ,gX,gY,gZ
-0.223,1.070,0.780,-98.816,25.208,-4.517
-0.343,0.484,0.410,-28.625,2.075,14.099
-0.223,0.524,0.222,-35.400,-0.732,14.893
-0.204,0.683,0.320,-70.862,-0.549,6.470
-0.291,0.749,0.415,-79.773,0.977,-3.052
-0.357,0.773,0.482,-80.750,15.076,-5.981
-0.314,0.819,0.531,-77.820,29.846,-0.183
-0.253,0.812,0.559,-71.716,41.077,2.991
-0.250,0.754,0.627,-67.566,41.931,0.854
-0.261,0.709,0.729,-65.491,30.273,-3.784
-0.271,0.727,0.803,-60.120,14.282,-5.737
-0.298,0.735,0.836,-51.575,3.113,-5.249
-0.316,0.661,0.800,-40.649,-4.822,-4.211
-0.336,0.590,0.785,-33.447,-10.010,-3.357
-0.353,0.589,0.833,-33.264,-7.141,-4.456
-0.387,0.625,0.889,-33.142,-0.244,-5.859
-0.409,0.623,0.935,-28.931,5.676,-4.822
-0.393,0.598,0.963,-21.545,9.399,-0.977
-0.358,0.595,0.979,-13.855,10.742,3.357
-0.313,0.604,0.975,-5.737,9.766,6.226
-0.289,0.618,0.978,3.174,7.507,7.080
-0.278,0.638,0.963,11.902,1.953,6.897
-0.276,0.618,0.939,20.264,-6.592,5.676
-0.286,0.582,0.921,27.893,-13.000,3.784
-0.297,0.563,0.950,33.569,-16.113,2.136
-0.302,0.533,1.022,38.818,-17.273,1.343
-0.315,0.481,1.133,47.424,-18.433,0.610
-0.345,0.445,1.243,57.312,-21.912,-0.549
-0.404,0.427,1.344,68.481,-28.931,-0.916
-0.465,0.439,1.380,81.604,-37.170,1.831
-0.514,0.461,1.369,98.511,-38.940,9.583
-0.534,0.469,1.267,119.141,-33.447,22.522
-0.499,0.451,1.126,140.015,-26.062,37.170
-0.447,0.442,0.952,156.433,-20.142,50.476
-0.361,0.467,0.766,165.222,-16.785,58.960
-0.257,0.514,0.602,168.091,-17.456,61.096
-0.177,0.569,0.440,169.312,-21.606,58.350
-0.158,0.609,0.286,169.739,-26.733,51.270
-0.153,0.657,0.165,166.443,-27.832,44.861
-0.168,0.708,0.099,159.851,-24.475,40.955
-0.208,0.769,0.062,153.381,-17.517,39.612
-0.212,0.841,-0.017,149.170,-6.775,42.358
-0.156,0.880,-0.125,149.170,4.272,47.974
-0.086,0.874,-0.279,149.475,9.766,53.406
-0.001,0.856,-0.399,143.311,9.338,54.077
0.009,0.900,-0.379,129.395,7.263,48.401
0.004,0.947,-0.288,116.211,-2.808,42.297
0.001,0.970,-0.222,109.619,-18.921,37.659
-0.037,0.975,-0.206,108.093,-33.447,32.227
-0.080,0.983,-0.232,109.619,-40.161,28.625
-0.103,0.976,-0.260,112.427,-37.781,29.175
-0.107,0.964,-0.294,112.671,-29.175,32.471
-0.084,0.945,-0.321,111.023,-19.470,35.461
-0.053,0.929,-0.325,107.361,-10.681,37.231
0.002,0.931,-0.295,102.112,-4.395,37.720
0.015,0.922,-0.222,97.046,-3.906,34.729
0.006,0.920,-0.143,95.154,-12.146,31.433
-0.006,0.915,-0.107,97.351,-24.475,29.907
-0.035,0.905,-0.104,103.027,-32.898,29.236
-0.059,0.890,-0.117,109.497,-32.654,29.724
-0.057,0.861,-0.138,115.845,-26.672,32.288
-0.049,0.828,-0.151,120.300,-19.836,35.278
-0.015,0.810,-0.152,120.361,-12.695,37.415
0.018,0.803,-0.149,120.422,-7.874,38.818
0.011,0.802,-0.154,122.009,-8.301,38.635
0.018,0.801,-0.179,125.732,-11.414,38.330
0.017,0.794,-0.204,131.226,-13.367,39.001
0.000,0.800,-0.226,136.719,-15.991,39.917
-0.005,0.768,-0.301,142.700,-20.630,41.443
0.044,0.740,-0.377,145.142,-22.766,43.152
0.074,0.749,-0.419,142.578,-19.592,41.016
0.096,0.727,-0.437,140.015,-15.137,35.583
0.109,0.756,-0.455,139.404,-14.893,31.128
0.071,0.749,-0.514,142.334,-22.583,27.771
0.056,0.725,-0.600,143.127,-31.067,27.405
0.049,0.728,-0.668,141.235,-30.701,28.259
0.065,0.728,-0.677,136.047,-24.780,29.114
0.078,0.748,-0.706,134.216,-19.348,31.067
0.128,0.721,-0.800,138.489,-19.043,32.227
0.158,0.679,-0.934,136.536,-20.874,30.518
0.231,0.651,-1.060,126.770,-24.109,27.100
0.266,0.688,-1.087,107.544,-25.696,18.066
0.235,0.731,-1.045,89.172,-25.574,5.493
0.167,0.760,-0.994,79.834,-28.137,-6.653
0.124,0.654,-0.953,76.416,-33.081,-11.902
0.098,0.692,-0.919,71.350,-39.246,-4.211
0.145,0.712,-0.889,68.298,-48.889,-3.052
0.043,0.676,-0.923,78.186,-51.025,-1.038
0.045,0.646,-0.993,78.003,-36.804,1.770
0.114,0.648,-1.020,72.266,-12.268,3.540
0.163,0.654,-1.014,65.063,0.793,3.174
0.123,0.630,-0.937,52.368,-8.301,0.732
0.053,0.601,-0.781,39.429,-27.283,-1.282
0.021,0.589,-0.657,44.067,-40.833,-4.456
-0.007,0.636,-0.605,45.593,-44.067,-4.700
-0.034,0.632,-0.583,50.659,-36.072,-3.113
-0.029,0.600,-0.630,64.636,-21.545,1.404
0.035,0.566,-0.710,71.533,-9.583,3.113
0.003,0.531,-0.713,74.707,-4.578,4.211
0.021,0.529,-0.722,77.881,-6.287,5.554
0.030,0.521,-0.757,79.041,-7.690,5.127
0.012,0.546,-0.835,78.186,-7.812,2.808
0.063,0.569,-0.946,74.829,-6.653,4.089
0.060,0.561,-1.073,72.266,-5.981,5.127
0.059,0.529,-1.201,68.848,-8.179,6.348
0.075,0.535,-1.307,59.692,-9.705,6.958
0.071,0.516,-1.357,48.462,-10.254,5.676
0.049,0.516,-1.371,38.635,-9.766,3.418
0.094,0.507,-1.362,30.457,-8.728,2.747
0.109,0.501,-1.316,21.790,-8.911,-0.366
0.068,0.506,-1.253,13.794,-13.611,-4.700
0.069,0.483,-1.169,7.141,-18.433,-5.432
0.047,0.446,-1.036,0.305,-20.020,-5.676
0.002,0.459,-0.912,-6.714,-18.188,-8.972
-0.017,0.473,-0.817,-9.888,-13.794,-9.216
0.000,0.486,-0.762,-11.230,-7.080,-7.935
0.011,0.501,-0.762,-9.888,-1.343,-7.629
0.024,0.498,-0.799,-6.897,-0.549,-6.714
0.022,0.501,-0.827,-5.493,-2.319,-5.920

0.336,0.290,-2.065,195.374,5.188,1.404
0.270,0.276,-2.063,155.334,-16.724,-12.756
0.181,0.325,-1.918,116.882,-40.710,-24.719
0.050,0.335,-1.839,93.994,-49.988,-28.809
