aX,aY,aZ,gX,gY,gZ
-0.755,0.435,1.430,228.638,-72.632,36.926
-0.633,0.499,0.529,299.377,-214.661,60.913
-0.299,0.238,0.166,219.849,-155.945,47.363
-0.265,0.452,0.414,161.926,-56.458,10.376
-0.274,0.589,0.751,99.487,9.338,-3.723
-0.244,0.552,0.664,79.834,27.344,1.831
-0.271,0.546,0.589,57.922,40.405,4.028
-0.271,0.530,0.748,30.640,62.256,-1.343
-0.333,0.562,0.720,12.634,60.486,-7.874
-0.346,0.564,0.738,5.249,59.021,-10.315
-0.355,0.556,0.763,3.784,54.382,-11.230
-0.434,0.547,0.793,9.460,42.480,-12.390
-0.476,0.594,0.880,19.165,21.973,-11.597
-0.490,0.586,0.946,34.729,-10.315,-4.578
-0.508,0.613,0.932,57.129,-43.640,1.831
-0.530,0.646,0.893,75.745,-64.026,9.155
-0.523,0.663,0.838,83.740,-68.848,16.968
-0.786,0.724,0.850,87.402,-62.988,23.376
-0.503,0.595,0.698,97.107,-55.542,31.006
-0.192,0.575,0.652,91.919,-52.673,40.527
-0.052,0.574,0.704,72.815,-53.406,30.640
-0.142,0.588,0.642,61.646,-58.960,2.441
-0.176,0.606,0.592,56.641,-70.679,-25.757
-0.202,0.644,0.604,55.115,-80.933,-47.363
-0.185,0.640,0.614,55.908,-88.318,-65.552
-0.150,0.621,0.649,58.167,-91.187,-82.764
-0.290,0.686,0.637,63.599,-90.088,-94.910
-0.339,0.656,0.649,60.425,-84.229,-94.788
-0.414,0.710,0.640,59.326,-77.576,-88.440
-0.377,0.572,0.646,54.443,-75.134,-71.960
-0.302,0.578,0.559,57.983,-79.468,-47.791
-0.380,0.470,0.518,69.092,-85.449,-24.658
-0.359,0.098,0.530,85.754,-91.553,17.700
-0.406,-0.326,0.687,125.671,-94.666,107.788
-0.358,-0.123,0.491,184.082,-88.745,250.793
-0.806,1.136,0.480,181.091,-88.379,353.271
0.354,2.806,1.243,63.965,-90.149,226.685
0.434,1.197,-0.180,92.834,-59.265,-26.550
-0.202,0.972,0.558,10.498,-77.759,-68.481
-0.019,0.945,0.462,-65.491,-84.106,-39.001
0.056,0.939,0.460,-56.396,-81.116,-49.438
0.111,0.884,0.484,-59.998,-84.961,-74.219
0.214,0.918,0.345,-99.243,-86.914,-111.267
0.309,0.983,0.235,-157.837,-76.294,-154.114
0.501,1.092,0.430,-220.520,-53.589,-181.641
0.884,1.325,0.582,-255.310,-36.621,-166.992
1.046,1.104,0.943,-253.845,-40.833,-105.774
2.292,3.281,0.985,-205.322,-59.021,15.320
2.225,2.277,0.765,-181.335,-51.392,-47.058
2.001,2.186,0.710,-190.002,-23.071,-144.287
1.895,1.983,0.401,-146.179,-6.714,-166.809
